SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,LC1,LC1gp,LC2,LC2gp,LC3,LC3gp,LC4,LC4gp,LC5,LC5gp,LC6,LC6gp,LC7,LC7gp,LC8,LC8gp,LC9,LC9gp,LC10,LC10gp,LCunknown,LCvote,WhyCandidateA,WhyCandidateB,SupportAny,FollowForum,Campaign_b,Campaign_c,Campaign_d,Campaign_e,Campaign_f,Campaign_g,CampaignEffect_a,CampaignEffect_agp,CampaignEffect_b,CampaignEffect_bgp,CampaignEffect_c,CampaignEffect_cgp,CampaignEffect_d,CampaignEffect_dgp,CampaignEffect_e,CampaignEffect_egp,CampaignEffect_f,CampaignEffect_fgp,CampaignEffect_g,CampaignEffect_ggp,AffectWillVote_a,AffectWillVote_b,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2021R6_000220,20211209,1.2200649,1,50,3,1,1,1,1,1,8885,2,2,17,,,,9,,,,,,,,,,,,,,,,,2,1,,,,1,8888,3,2,3,2,1,1,1,2,2,3,1,2,1,3,1,2,1,3,1,4,4,4,4,2,2,1,1,,,1,2,1,1,2,1,1,5,3,2,2,,4,3,,1,2,2,5,1,4,2,2
LC2021R6_000221,20211209,1.9240887,1,0,1,1,1,3,3,2,,,3,6,,,,3,,,,,8886,8886,,,,,,,,,,,,,,,,8886,,,2,4,2,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,1,,,1,2,1,1,2,1,1,4,3,2,2,,1,1,,2,1,1,2,1,3,1,2
LC2021R6_000222,20211209,0.7761741,2,0,1,1,1,2,1,1,4,1,1,,,,,4,,,,,,,-99,-99,,,,,,,,,,,,,,-99,,,1,2,1,1,1,1,2,2,2,1,2,1,2,1,4,4,4,4,4,4,4,4,2,2,2,1,,,1,6,5,5,6,3,3,3,2,6,6,,1,1,,2,1,1,3,2,3,1,2
LC2021R6_000223,20211209,0.5330566,1,50,3,1,1,1,1,2,,,3,15,,,,8,,,,,,,,,,,,,,,1,1,,,,,,1,2,3,8888,3,2,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,8888,2,5,44,4,8881,7,6,5,6,3,3,3,2,6,6,,2,2,,1,3,3,5,3,4,2,2
LC2021R6_000224,20211213,1.9240887,1,0,1,1,1,4,3,2,,,3,6,,,,3,,,,,8886,8886,,,,,,,,,,,,,,,,8886,,,2,4,2,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,,,1,2,1,1,2,1,1,5,3,-99,-99,,3,1,,2,-99,-99,2,-99,3,1,-99
LC2021R6_000225,20211213,1.1373134,1,0,1,1,1,4,3,2,,,3,13,,2,,10,,,,,,,,,,,,,,,,,,,8886,8886,,8886,,,2,4,1,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,3,1,,1,4,3,4,1,3,1,2
LC2021R6_000226,20211213,0.4619260,1,50,3,1,1,2,1,1,2,1,1,,,,,2,,,2,1,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,55,4,2,7,6,5,6,3,3,2,2,6,6,,4,3,,2,1,1,-99,1,4,2,1
LC2021R6_000227,20211213,1.1773731,1,20,2,1,1,4,3,2,,,3,2,,,,1,8886,8886,,,,,,,,,,,,,,,,,,,,8886,,,2,3,1,1,2,1,2,1,3,1,3,1,4,4,3,1,3,1,4,4,3,1,3,3,2,1,,,1,5,4,4,5,3,2,5,3,6,6,,4,3,,1,3,3,1,2,3,1,2
LC2021R6_000228,20211213,0.9144789,1,60,4,1,2,2,1,2,,,3,13,,1,,6,,,,,,,,,,,2,1,,,,,,,,,,1,2,2,2,3,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,65,5,2,6,5,5,6,3,3,1,1,3,3,,1,1,,1,2,2,4,3,5,3,1
LC2021R6_000229,20211213,0.9772795,1,60,4,1,1,2,1,2,,,3,17,,,,9,,,,,,,,,,,,,,,,,2,1,,,,1,1,3,1,3,2,1,1,1,2,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,1,8888,1,2,42,4,2,6,5,5,6,3,3,1,1,2,2,,4,3,,2,1,1,5,2,5,3,2
LC2021R6_000230,20211213,0.5024907,1,100,5,1,1,1,1,2,,,3,8,,,,4,,,,,,,1,1,,,,,,,,,,,,,,1,2,8888,2,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,2,1,2,62,5,2,7,6,5,6,3,3,1,1,6,6,,2,2,,2,1,1,3,2,5,3,2
LC2021R6_000231,20211213,0.5933689,1,80,4,1,1,1,1,1,8885,2,2,11,,,,10,,,,,,,,,,,,,,,,,,,1,1,,1,2,2,8888,3,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,8889,8889,8889,8889,2,2,1,2,45,4,2,7,6,5,6,3,3,2,2,6,6,,8888,8888,,1,4,3,4,2,4,2,2
LC2021R6_000232,20211213,0.5920284,1,50,3,1,1,4,3,1,8885,2,2,13,,1,,6,,,,,,,,,,,8886,8886,,,,,,,,,,8886,,,2,4,1,1,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,,,1,7,6,5,6,3,3,5,3,6,6,,1,1,,1,2,2,4,2,3,1,2
LC2021R6_000233,20211213,1.6548003,1,0,1,1,1,8886,8886,2,,,3,10,,,,7,,,,,,,,,,,,,8888,8888,,,,,,,,8888,,,2,4,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,40,4,2,4,3,3,4,2,2,3,2,5,5,,4,3,,1,2,2,4,2,4,2,2
LC2021R6_000234,20211213,0.5851474,1,50,3,1,1,8886,8886,2,,,3,13,,1,,6,,,,,,,,,,,1,1,,,,,,,,,,1,1,3,8888,2,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,8889,8889,4,4,2,2,2,2,50,4,2,7,6,5,6,3,3,2,2,5,5,,8886,8886,,1,1,1,4,3,5,3,2
LC2021R6_000235,20211213,1.1511589,1,50,3,1,1,2,1,1,8885,2,2,13,,2,,10,,,,,,,,,,,,,,,,,,,3,1,,1,1,8888,2,2,1,1,1,2,2,2,3,1,3,1,3,1,3,1,3,1,4,4,4,4,3,2,2,1,,,1,5,4,4,5,3,2,3,2,1,1,,2,2,,1,2,2,4,2,4,2,2
LC2021R6_000236,20211213,0.6172096,1,60,4,1,1,1,1,1,8885,2,2,14,,,,9,,,,,,,,,,,,,,,,,-99,-99,,,,-99,,,1,3,2,1,1,8888,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,7,6,5,6,3,3,3,2,6,6,,2,2,,1,3,3,5,2,2,1,2
LC2021R6_000237,20211213,0.6748275,1,0,1,1,1,-99,-99,1,-99,-99,-99,-99,,,,-99,,,,,,,,,,,,,,,,,,,,,-99,-99,,,1,2,2,1,1,1,2,2,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,2,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99
LC2021R6_000238,20211213,0.4565571,1,0,1,1,1,4,3,1,2,1,1,,,,,2,,,8886,8886,,,,,,,,,,,,,,,,,,8886,,,2,3,1,1,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,64,5,2,7,6,5,6,3,3,3,2,6,6,,4,3,,1,3,3,-99,2,5,3,2
LC2021R6_000239,20211213,0.5864723,1,35,2,1,2,4,3,1,8885,2,2,13,,2,,10,,,,,,,,,,,,,,,,,,,8886,8886,,8886,,,2,2,1,1,1,1,2,1,4,4,3,1,3,1,3,1,4,4,4,4,4,4,2,2,2,1,,,1,7,6,5,6,3,3,3,2,6,6,,1,1,,1,2,2,4,2,3,1,2
LC2021R6_000240,20211213,1.3384407,1,50,3,1,1,1,1,2,,,3,5,2,,,5,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,8888,3,2,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,,,1,6,5,5,6,3,3,3,2,3,3,,2,2,,2,1,1,2,2,4,2,2
LC2021R6_000241,20211213,0.5383443,1,8888,8888,1,1,8886,8886,2,,,3,6,,,,3,,,,,5,1,,,,,,,,,,,,,,,,1,2,1,8888,3,2,2,2,2,2,2,3,1,4,4,4,4,4,4,3,1,4,4,4,4,2,2,2,1,,,1,7,6,5,6,3,3,3,2,5,5,,8888,8888,,2,1,1,2,2,8888,8888,-99
LC2021R6_000242,20211213,1.1321127,1,51,4,1,1,8886,8886,1,-99,-99,-99,15,,,,8,,,,,,,,,,,,,,,8888,8888,,,,,,8888,,,8888,2,2,2,1,1,2,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,,,1,5,4,4,5,3,2,3,2,6,6,,8888,8888,,1,3,3,5,2,3,1,2
LC2021R6_000243,20211213,0.5330566,1,8888,8888,1,1,8886,8886,1,8885,2,2,15,,,,8,,,,,,,,,,,,,,,2,1,,,,,,1,8888,3,8888,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,2,8888,8888,2,7,6,5,6,3,3,2,2,6,6,,2,2,,1,3,3,5,2,3,1,2
LC2021R6_000244,20211213,0.7863880,1,0,1,1,1,2,1,1,4,1,1,,,,,4,,,,,,,8888,8888,,,,,,,,,,,,,,8888,,,2,3,2,2,1,1,2,2,3,1,2,1,2,1,3,1,3,1,3,1,3,1,2,2,1,1,,,1,6,5,5,6,3,3,5,3,1,1,,4,3,,1,3,3,3,2,3,1,2
LC2021R6_000245,20211213,0.6244676,1,50,3,1,1,1,1,1,8885,2,2,14,,,,9,,,,,,,,,,,,,,,,,-99,-99,,,,-99,,,1,1,2,1,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,70,5,2,7,6,5,6,3,3,1,1,6,6,,4,3,,1,1,1,5,2,3,1,2
LC2021R6_000246,20211213,1.1593053,1,1,2,1,1,3,3,1,8885,2,2,13,,2,,10,,,,,,,,,,,,,,,,,,,8886,8886,,8886,,,2,4,2,2,1,2,2,2,2,1,2,1,3,1,1,1,4,4,4,4,4,4,1,3,1,1,,,1,2,1,1,2,1,1,5,3,4,4,,4,3,,2,1,1,4,1,5,3,2
LC2021R6_000247,20211213,0.8453041,1,50,3,1,1,8886,8886,2,,,3,9,,,,5,,,,,,,,,8888,8888,,,,,,,,,,,,8888,,,2,2,2,2,1,2,2,2,3,1,3,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,70,5,2,7,6,5,6,3,3,3,2,5,5,,1,1,,1,3,3,3,3,3,1,1
LC2021R6_000248,20211213,1.0427519,1,0,1,1,2,4,3,1,8885,2,2,16,,,2,7,,,,,,,,,,,,,8886,8886,,,,,,,,8886,,,2,4,1,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,2,26,3,2,3,2,2,3,2,2,3,2,7,6,,1,1,,2,1,1,5,1,5,3,2
LC2021R6_000249,20211213,1.2913149,1,0,1,1,1,4,3,1,4,1,1,,,,,4,,,,,,,8886,8886,,,,,,,,,,,,,,8886,,,2,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,30,3,2,4,3,3,4,2,2,5,3,5,5,,1,1,,1,3,3,3,2,3,1,1
LC2021R6_000250,20211213,0.7863880,1,50,3,1,1,3,3,1,8885,2,2,8,,,,4,,,,,,,8886,8886,,,,,,,,,,,,,,8886,,,2,2,2,1,1,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,,,1,6,5,5,6,3,3,2,2,6,6,,2,2,,2,1,1,3,2,3,1,2
LC2021R6_000251,20211213,1.1485583,1,20,2,1,1,1,1,1,8885,2,2,12,,,,6,,,,,,,,,,,8888,8888,,,,,,,,,,8888,,,1,2,2,1,1,1,2,2,2,1,2,1,4,4,3,1,4,4,4,4,4,4,1,1,2,1,,,1,5,4,4,5,3,2,5,3,1,1,,8886,8886,,1,3,3,4,1,2,1,2
LC2021R6_000252,20211213,0.5998275,1,80,4,1,1,1,1,2,,,3,3,,,,1,3,1,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,2,2,1,2,2,2,3,1,4,4,4,4,4,4,4,4,8889,8889,2,1,1,2,2,2,40,4,2,7,6,5,6,3,3,4,3,5,5,,2,2,,1,3,3,1,2,5,3,2
LC2021R6_000253,20211213,0.4565571,1,70,4,1,1,1,1,1,8885,2,2,4,,,,2,,,1,1,,,,,,,,,,,,,,,,,,1,1,8888,8888,4,2,1,1,1,2,2,4,4,4,4,4,4,4,4,3,1,4,4,4,4,2,2,2,1,,,1,7,6,5,6,3,3,1,1,6,6,,8886,8886,,1,2,2,1,3,5,3,2
LC2021R6_000254,20211213,1.7750708,1,0,1,1,1,3,3,1,8885,2,2,8,,,,4,,,,,,,8886,8886,,,,,,,,,,,,,,8886,,,2,2,2,1,1,1,2,1,2,1,4,4,4,4,4,4,4,4,4,4,1,1,2,3,2,1,,,1,2,1,1,2,1,1,4,3,2,2,,4,3,,2,3,3,3,1,5,3,1
LC2021R6_000255,20211213,0.5446750,1,70,4,1,1,2,1,1,3,1,1,,,,,3,,,,,-99,-99,,,,,,,,,,,,,,,,-99,,,-99,4,2,2,2,1,2,2,8889,8889,4,4,4,4,8889,8889,4,4,4,4,4,4,2,2,1,2,63,5,2,7,6,5,6,3,3,1,1,3,3,,-99,-99,,2,4,3,2,2,1,1,-99
LC2021R6_000256,20211213,0.4565571,1,25,2,1,1,4,3,1,2,1,1,,,,,2,,,8886,8886,,,,,,,,,,,,,,,,,,8886,,,2,2,2,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,70,5,2,7,6,5,6,3,3,2,2,5,5,,4,3,,1,3,3,-99,2,4,2,1
LC2021R6_000257,20211213,0.5383443,1,0,1,1,1,3,3,1,3,1,1,,,,,3,,,,,8886,8886,,,,,,,,,,,,,,,,8886,,,2,4,2,1,2,1,2,2,3,1,4,4,4,4,3,1,3,1,4,4,3,1,3,2,2,1,,,1,7,6,5,6,3,3,2,2,6,6,,1,1,,2,1,1,2,3,4,2,1
LC2021R6_000258,20211213,0.9772795,1,88,4,1,1,1,1,1,9,1,1,,,,,9,,,,,,,,,,,,,,,,,3,1,,,,1,2,3,1,2,1,1,1,1,2,2,3,1,2,1,2,1,2,1,2,1,4,4,2,1,2,2,1,8888,45,4,8888,6,5,5,6,3,3,4,3,6,6,,2,2,,1,3,3,5,2,3,1,2
LC2021R6_000259,20211213,0.7761741,1,50,3,1,1,1,1,1,4,1,1,,,,,4,,,,,,,1,1,,,,,,,,,,,,,,1,2,2,1,2,2,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,42,4,2,6,5,5,6,3,3,3,2,6,6,,2,2,,1,3,3,3,2,3,1,1
LC2021R6_000260,20211213,0.7761741,1,0,1,1,1,3,3,1,8885,2,2,8,,,,4,,,,,,,8886,8886,,,,,,,,,,,,,,8886,,,1,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,4,4,2,1,2,2,2,1,,,1,6,5,5,6,3,3,1,1,5,5,,8886,8886,,2,1,1,3,2,5,3,2
LC2021R6_000261,20211213,0.9497570,1,40,2,1,1,1,1,1,8885,2,2,3,,,,1,3,1,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,1,2,1,2,2,2,4,4,4,4,4,4,3,1,4,4,4,4,4,4,2,2,1,1,,,1,6,5,5,6,3,3,3,2,2,2,,8886,8886,,1,2,2,1,-99,3,1,2
LC2021R6_000262,20211213,1.0537161,1,70,4,1,1,1,1,1,8,1,1,,,,,8,,,,,,,,,,,,,,,-99,-99,,,,,,-99,,,1,3,1,1,1,1,2,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,,,1,2,1,1,2,1,1,5,3,2,2,,4,3,,1,2,2,5,1,4,2,1
LC2021R6_000263,20211213,2.0961023,1,0,1,1,1,3,3,1,10,1,1,,,,,10,,,,,,,,,,,,,,,,,,,8886,8886,,8886,,,2,3,2,1,1,2,2,2,4,4,4,4,4,4,3,1,4,4,4,4,4,4,3,3,2,1,,,1,2,1,1,2,1,1,5,3,4,4,,-99,-99,,1,3,3,4,1,-99,-99,2
LC2021R6_000264,20211213,0.5920284,1,70,4,1,1,1,1,1,8885,2,2,12,,,,6,,,,,,,,,,,2,1,,,,,,,,,,1,8888,2,1,4,2,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,45,4,2,7,6,5,6,3,3,1,1,6,6,,1,1,,2,1,1,4,2,8888,8888,-99
LC2021R6_000265,20211213,1.3997213,1,60,4,1,1,1,1,1,8885,2,2,5,1,,,3,,,,,1,1,,,,,,,,,,,,,,,,1,1,3,1,2,1,1,1,1,2,2,3,1,3,1,4,4,4,4,4,4,4,4,4,4,1,1,2,2,17,2,2,4,3,3,4,2,2,3,2,5,5,,2,2,,2,1,1,2,2,5,3,1
LC2021R6_000266,20211213,0.4565571,1,0,1,1,1,1,1,1,8885,2,2,1,,,,2,,,3,1,,,,,,,,,,,,,,,,,,1,8888,3,1,1,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,7,6,5,6,3,3,4,3,6,6,,1,1,,1,3,3,1,3,3,1,2
LC2021R6_000267,20211213,0.7463870,1,100,5,1,1,1,1,1,8885,2,2,3,,,,1,-99,-99,,,,,,,,,,,,,,,,,,,,-99,,,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,-99,2,-99,50,4,-99,-99,-99,-99,-99,-99,-99,1,1,5,5,,-99,-99,,1,-99,-99,1,2,-99,-99,-99
LC2021R6_000268,20211213,1.1773731,1,50,3,1,1,8886,8886,1,1,1,1,,,,,1,8888,8888,,,,,,,,,,,,,,,,,,,,8888,,,1,2,1,1,1,2,2,2,3,1,4,4,4,4,3,1,3,1,4,4,4,4,2,2,2,-99,45,4,-99,5,4,4,5,3,2,5,3,1,1,,4,3,,1,3,3,1,2,3,1,2
LC2021R6_000269,20211213,0.5998275,1,0,1,1,1,8886,8886,1,1,1,1,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,1,1,3,2,4,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,64,5,2,7,6,5,6,3,3,3,2,6,6,,1,1,,1,3,3,1,2,4,2,2
LC2021R6_000270,20211213,0.8413342,1,50,3,1,1,4,3,2,,,3,6,,,,3,,,,,8886,8886,,,,,,,,,,,,,,,,8886,,,2,3,2,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,1,,,1,6,5,5,6,3,3,3,2,2,2,,8886,8886,,2,1,1,2,2,5,3,2
LC2021R6_000271,20211213,0.9286106,1,0,1,1,1,4,3,1,8885,2,2,13,,2,,10,,,,,,,,,,,,,,,,,,,8886,8886,,8886,,,2,4,2,2,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,1,,,1,6,5,5,6,3,3,3,2,6,6,,3,1,,2,1,1,4,3,4,2,2
LC2021R6_000272,20211213,1.1593053,1,20,2,1,1,3,3,2,,,3,13,,2,,10,,,,,,,,,,,,,,,,,,,8886,8886,,8886,,,2,2,1,2,1,2,2,2,2,1,4,4,3,1,4,4,4,4,4,4,2,1,2,3,1,1,,,1,2,1,1,2,1,1,5,3,4,4,,4,3,,-99,4,3,4,1,4,2,2
LC2021R6_000273,20211213,0.5423193,1,100,5,1,1,2,1,1,8885,2,2,16,,,8888,-99,,,,,,,,,,,,,,,,,,,,,8888,8888,,,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,45,4,2,7,6,5,6,3,3,1,1,6,6,,8886,8886,,1,3,3,5,2,3,1,2
LC2021R6_000274,20211213,0.8330704,1,0,1,1,1,8886,8886,1,8885,2,2,15,,,,8,,,,,,,,,,,,,,,2,1,,,,,,1,1,3,8888,3,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,6,5,5,6,3,3,3,2,5,5,,4,3,,1,3,3,5,2,4,2,2
LC2021R6_000275,20211213,0.5998275,1,50,3,1,2,1,1,1,1,1,1,,,,,1,8888,8888,,,,,,,,,,,,,,,,,,,,8888,,,1,1,2,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,7,6,5,6,3,3,1,1,5,5,,8888,8888,,1,1,1,1,2,5,3,2
LC2021R6_000276,20211213,1.0112289,1,51,4,1,1,1,1,1,9,1,1,,,,,9,,,,,,,,,,,,,,,,,-99,-99,,,,-99,,,1,2,2,1,1,1,2,1,2,1,4,4,4,4,2,1,3,1,4,4,1,1,2,2,1,1,,,1,3,2,2,3,2,2,5,3,7,6,,4,3,,1,2,2,5,1,4,2,2
LC2021R6_000277,20211213,0.5330566,1,0,1,1,1,3,3,1,8885,2,2,16,,,1,8,,,,,,,,,,,,,,,8886,8886,,,,,,8886,,,2,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,5,8888,8888,8881,7,6,5,6,3,3,2,2,5,5,,1,1,,1,2,2,5,3,5,3,2
LC2021R6_000278,20211213,0.4565571,1,75,4,1,1,1,1,1,8885,2,2,18,,,,2,,,-99,-99,,,,,,,,,,,,,,,,,,-99,,,1,2,2,1,1,1,1,1,2,1,8888,8888,3,1,3,1,3,1,3,1,3,1,1,2,2,4,53,4,8881,7,6,5,6,3,3,3,2,6,6,,8886,8886,,1,3,3,5,2,4,2,2
LC2021R6_000279,20211213,0.6172096,1,60,4,1,1,1,1,1,8885,2,2,17,,,,9,,,,,,,,,,,,,,,,,2,1,,,,1,2,2,2,2,2,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,40,4,2,7,6,5,6,3,3,3,2,5,5,,2,2,,2,1,1,5,2,5,3,2
LC2021R6_000280,20211213,1.2095340,1,30,2,1,1,2,1,2,,,3,11,,,,10,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,4,4,3,1,2,2,1,2,35,3,2,4,3,3,4,2,2,3,2,2,2,,2,2,,1,3,3,4,2,3,1,2
LC2021R6_000281,20211213,0.9645862,1,100,5,1,1,1,1,2,,,3,17,,,,9,,,,,,,,,,,,,,,,,2,1,,,,1,1,8888,8888,3,2,2,2,2,2,2,4,4,4,4,4,4,8889,8889,3,1,8889,8889,8889,8889,8888,8888,2,2,30,3,2,6,5,5,6,3,3,1,1,5,5,,8888,8888,,2,1,1,5,2,8888,8888,-99
LC2021R6_000282,20211213,0.9696422,1,0,1,1,1,4,3,2,,,3,4,,,,2,,,8886,8886,,,,,,,,,,,,,,,,,,8886,,,2,4,2,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,1,,,1,5,4,4,5,3,2,3,2,7,6,,1,1,,1,2,2,1,1,5,3,2
LC2021R6_000283,20211213,0.6068811,1,0,1,1,1,4,3,1,1,1,1,,,,,1,8886,8886,,,,,,,,,,,,,,,,,,,,8886,,,2,4,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,,,1,7,6,5,6,3,3,4,3,6,6,,4,3,,1,3,3,1,2,3,1,2
LC2021R6_000284,20211213,0.5864723,1,50,3,1,1,1,1,1,8885,2,2,13,,2,,10,,,,,,,,,,,,,,,,,,,1,1,,1,1,3,1,4,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,7,6,5,6,3,3,2,2,6,6,,2,2,,1,2,2,4,2,3,1,2
LC2021R6_000285,20211213,1.3997213,1,0,1,1,1,-99,-99,1,3,1,1,,,,,3,,,,,-99,-99,,,,,,,,,,,,,,,,-99,,,2,4,1,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,,,1,4,3,3,4,2,2,5,3,5,5,,4,3,,1,3,3,2,2,2,1,2
LC2021R6_000286,20211213,0.5851474,1,50,3,1,1,4,3,1,8885,2,2,12,,,,6,,,,,,,,,,,8886,8886,,,,,,,,,,8886,,,8888,4,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,8889,8889,8889,8889,2,2,2,2,48,4,2,7,6,5,6,3,3,1,1,6,6,,8886,8886,,1,2,2,4,3,8888,8888,2
LC2021R6_000287,20211213,1.2342320,1,10,2,1,1,4,3,2,,,3,10,,,,7,,,,,,,,,,,,,8886,8886,,,,,,,,8886,,,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,3,1,3,1,3,3,2,2,15,2,2,3,2,2,3,2,2,3,2,2,2,,1,1,,2,1,1,4,2,5,3,2
LC2021R6_000288,20211213,0.9645862,1,60,4,1,1,2,1,1,8885,2,2,14,,,,9,,,,,,,,,,,,,,,,,2,1,,,,1,1,3,8888,2,2,1,1,2,2,1,3,1,4,4,3,1,4,4,3,1,4,4,4,4,2,2,2,2,36,3,2,6,5,5,6,3,3,2,2,6,6,,2,2,,2,1,1,5,2,5,3,2
LC2021R6_000289,20211213,0.6244676,1,70,4,1,1,2,1,1,8885,2,2,17,,,,9,,,,,,,,,,,,,,,,,2,1,,,,1,2,2,1,3,1,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,8889,8889,8889,8889,2,2,1,5,65,5,8881,7,6,5,6,3,3,4,3,6,6,,2,2,,1,3,3,5,2,3,1,2
LC2021R6_000290,20211213,1.9789005,1,0,1,1,1,4,3,1,8885,2,2,10,,,,7,,,,,,,,,,,,,8886,8886,,,,,,,,8886,,,2,4,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,6,,-99,-99,,-99,-99,-99,4,2,5,3,2
LC2021R6_000291,20211213,0.9165495,1,20,2,1,1,4,3,1,10,1,1,,,,,10,,,,,,,,,,,,,,,,,,,8886,8886,,8886,,,2,2,2,1,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,1,1,,1,3,3,4,2,3,1,2
LC2021R6_000292,20211213,0.5486967,1,70,4,1,1,1,1,1,8885,2,2,13,,8888,,-99,,,,,,,,,,,,,,,,,,,,,1,1,1,3,1,2,2,2,2,1,2,2,4,4,4,4,4,4,4,4,8888,8888,4,4,4,4,2,2,1,5,40,4,8881,7,6,5,6,3,3,1,1,6,6,,8886,8886,,2,1,1,4,1,4,2,2
LC2021R6_000293,20211213,0.7135157,1,50,3,1,2,4,3,1,8885,2,2,4,,,,2,,,8886,8886,,,,,,,,,,,,,,,,,,8886,,,8888,3,2,2,2,2,2,2,4,4,4,4,8888,8888,4,4,4,4,4,4,4,4,2,2,2,1,,,1,6,5,5,6,3,3,1,1,5,5,,8886,8886,,2,1,1,1,2,5,3,2
