SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,SupportAny,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2021R4_000131,20211129,0.5643772,1,0,1,1,1,3,3,1,4,1,1,,,,,4,2,2,1,,,1,7,6,5,6,3,3,3,2,6,6,,1,1,,1,3,3,3,2,3,1,2
LC2021R4_000132,20211129,0.8419976,1,0,1,1,1,4,3,2,,,3,3,,,,1,2,1,5,50,4,8881,6,5,5,6,3,3,3,2,3,3,,8886,8886,,1,2,2,1,2,5,3,1
LC2021R4_000133,20211129,0.5903943,1,80,4,1,1,3,3,2,,,3,13,,1,,6,8888,2,4,60,5,8881,7,6,5,6,3,3,2,2,5,5,,4,3,,2,1,1,4,2,5,3,2
LC2021R4_000134,20211129,1.0467985,2,0,1,1,1,4,3,2,,,3,15,,,,8,2,2,2,40,4,2,4,3,3,4,2,2,2,2,8881,6,__,8886,8886,,1,3,3,5,2,5,3,2
LC2021R4_000135,20211129,1.0226482,2,0,1,1,1,4,3,1,9,1,1,,,,,9,2,1,1,,,1,5,4,4,5,3,2,3,2,3,3,,4,3,,2,3,3,5,2,5,3,2
LC2021R4_000136,20211129,1.1059426,2,0,1,1,1,4,3,1,6,1,1,,,,,6,2,1,1,,,1,3,2,2,3,2,2,5,3,1,1,,1,1,,1,3,3,4,3,3,1,2
LC2021R4_000137,20211129,0.5903943,1,0,1,1,1,3,3,1,8885,2,2,12,,,,6,2,2,2,67,5,2,7,6,5,6,3,3,1,1,7,6,,1,1,,1,1,1,4,2,5,3,-99
LC2021R4_000138,20211129,1.4209904,2,0,1,1,1,4,3,1,1,1,1,,,,,1,2,2,1,,,1,2,1,1,2,1,1,3,2,7,6,,1,1,,2,1,1,1,2,4,2,2
LC2021R4_000139,20211129,0.761558,1,80,4,1,1,1,1,1,4,1,1,,,,,4,8888,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,2,2,,1,3,3,3,2,2,1,2
LC2021R4_000140,20211129,1.7293949,1,0,1,1,1,4,3,1,10,1,1,,,,,10,2,1,1,,,1,3,2,2,3,2,2,5,3,2,2,,1,1,,1,3,3,4,2,4,2,1
LC2021R4_000141,20211129,1.1467674,1,50,3,1,1,2,1,2,,,3,9,,,,5,8888,2,1,,,1,7,6,5,6,3,3,2,2,5,5,,3,1,,2,1,1,3,2,8888,8888,2
LC2021R4_000142,20211129,0.8044148,2,0,1,1,1,-99,-99,1,3,1,1,,,,,3,8888,2,1,,,1,4,3,3,4,2,2,3,2,-99,-99,,-99,-99,,1,-99,-99,2,2,3,1,-99
LC2021R4_000143,20211129,1.1642742,1,100,5,1,2,8886,8886,1,8885,2,2,4,,,,2,2,2,2,10,2,2,4,3,3,4,2,2,1,1,-99,-99,,-99,-99,,-99,-99,-99,1,-99,-99,-99,-99
LC2021R4_000144,20211129,0.877793,1,50,3,1,1,2,1,1,8885,2,2,4,,,,2,1,2,1,,,1,6,5,5,6,3,3,1,1,6,6,,8886,8886,,2,1,1,1,3,5,3,2
LC2021R4_000145,20211129,0.8483303,1,50,3,1,1,2,1,1,8885,2,2,15,,,,8,2,1,1,,,1,5,4,4,5,3,2,3,2,7,6,,4,3,,2,1,1,5,1,3,1,2
LC2021R4_000146,20211129,0.4197223,1,85,4,1,1,1,1,1,3,1,1,,,,,3,1,1,2,62,5,2,7,6,5,6,3,3,3,2,3,3,,4,3,,1,3,3,2,2,4,2,1
LC2021R4_000147,20211129,1.2277014,2,0,1,1,1,1,1,1,8885,2,2,1,,,,2,8888,2,1,,,1,5,4,4,5,3,2,3,2,2,2,,1,1,,1,3,3,1,2,5,3,2
LC2021R4_000148,20211129,0.8543979,2,0,1,1,1,4,3,1,1,1,1,,,,,1,2,2,1,,,1,6,5,5,6,3,3,3,2,6,6,,1,1,,1,3,3,1,2,3,1,2
LC2021R4_000149,20211129,0.5594615,1,80,4,1,1,1,1,1,6,1,1,,,,,6,1,1,1,,,1,7,6,5,6,3,3,2,2,6,6,,2,2,,1,2,2,4,2,5,3,2
LC2021R4_000150,20211129,1.1612237,2,0,1,1,1,3,3,2,,,3,17,,,,9,2,1,1,,,1,4,3,3,4,2,2,2,2,3,3,,8886,8886,,2,1,1,5,1,5,3,2
LC2021R4_000151,20211129,0.5594615,1,50,3,1,1,2,1,1,8885,2,2,12,,,,6,2,1,1,,,1,7,6,5,6,3,3,1,1,7,6,,3,1,,2,1,1,4,2,5,3,2
LC2021R4_000152,20211129,0.5461917,2,50,3,1,1,1,1,1,8885,2,2,15,,,,8,1,1,2,70,5,2,7,6,5,6,3,3,5,3,6,6,,2,2,,1,3,3,5,3,2,1,2
LC2021R4_000153,20211129,0.8297065,2,25,2,1,1,8886,8886,1,3,1,1,,,,,3,2,1,1,,,1,3,2,2,3,2,2,4,3,2,2,,4,3,,1,1,1,2,1,5,3,2
LC2021R4_000154,20211129,1.1612237,2,1,2,1,1,3,3,1,-99,-99,-99,17,,,,9,2,1,1,,,1,4,3,3,4,2,2,5,3,1,1,,4,3,,1,3,3,5,2,3,1,2
LC2021R4_000155,20211129,0.900617,1,100,5,1,1,1,1,1,8885,2,2,-99,,,,-99,1,1,1,,,1,6,5,5,6,3,3,2,2,6,6,,2,2,,1,2,2,4,2,4,2,1
LC2021R4_000156,20211129,0.6584251,1,60,4,1,1,2,1,1,8885,2,2,14,,,,9,1,1,4,30,3,8881,7,6,5,6,3,3,1,1,6,6,,2,2,,1,3,3,5,2,5,3,2
LC2021R4_000157,20211129,1.1038259,1,0,1,1,1,8886,8886,2,,,3,16,,,1,8,2,2,1,,,1,5,4,4,5,3,2,3,2,1,1,,4,3,,1,3,3,5,1,5,3,2
LC2021R4_000158,20211129,0.8044148,1,1,2,1,1,2,1,1,3,1,1,,,,,3,2,2,1,,,1,4,3,3,4,2,2,3,2,2,2,,8886,8886,,1,3,3,2,2,4,2,2
LC2021R4_000159,20211129,1.2121395,2,42,2,1,1,2,1,2,,,3,5,8888,,,-99,2,2,2,15,2,2,4,3,3,4,2,2,1,1,5,5,,8886,8886,,2,3,3,2,2,5,3,2
LC2021R4_000160,20211129,0.5976785,1,80,4,1,1,2,1,1,3,1,1,,,,,3,8888,1,1,,,1,6,5,5,6,3,3,3,2,6,6,,8886,8886,,2,1,1,2,2,4,2,2
LC2021R4_000161,20211129,0.6064806,2,60,4,1,1,1,1,1,3,1,1,,,,,3,1,2,2,25,3,2,6,5,5,6,3,3,1,1,6,6,,2,2,,2,1,1,2,3,5,3,2
LC2021R4_000162,20211130,1.0722305,2,0,1,1,1,4,3,2,,,3,12,,,,6,2,2,1,,,1,4,3,3,4,2,2,5,3,2,2,,4,3,,2,3,3,4,2,3,1,2
LC2021R4_000163,20211130,1.2356847,1,50,3,1,1,1,1,2,,,3,17,,,,9,8888,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,4,3,,1,3,3,5,1,3,1,2
LC2021R4_000164,20211130,1.1869596,2,0,1,1,1,8886,8886,1,-99,-99,-99,-99,,,,-99,2,2,-99,-99,,-99,3,2,2,3,2,2,5,3,2,2,,8886,8886,,-99,-99,-99,-99,1,4,2,-99
LC2021R4_000165,20211130,1.3178873,2,2,2,1,1,2,1,2,,,3,17,,,,9,1,1,2,19,2,2,2,1,1,2,1,1,5,3,1,1,,1,1,,2,1,1,5,1,4,2,2
LC2021R4_000166,20211130,0.8748463,1,50,3,1,1,1,1,1,8885,2,2,11,,,,10,1,1,1,,,1,7,6,5,6,3,3,2,2,6,6,,4,3,,2,1,1,4,1,5,3,2
LC2021R4_000167,20211130,0.7892234,1,15,2,1,1,4,3,1,8885,2,2,15,,,,8,8888,2,1,,,1,6,5,5,6,3,3,2,2,5,5,,1,1,,2,3,3,5,2,5,3,2
LC2021R4_000168,20211130,1.2008803,2,10,2,1,2,4,3,2,,,3,4,,,,2,2,1,1,,,1,3,2,2,3,2,2,4,3,2,2,,4,3,,1,3,3,1,1,5,3,2
LC2021R4_000169,20211130,0.8306486,1,0,1,1,2,4,3,2,,,3,7,,,,4,2,1,1,,,1,5,4,4,5,3,2,3,2,7,6,,8886,8886,,1,3,3,3,1,4,2,2
LC2021R4_000170,20211130,1.0499569,1,0,1,1,1,4,3,1,6,1,1,,,,,6,2,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,1,1,,1,3,3,4,2,3,1,1
LC2021R4_000171,20211130,1.2808039,2,55,4,1,1,1,1,2,,,3,10,,,,7,8888,1,1,,,1,4,3,3,4,2,2,2,2,2,2,,2,2,,1,2,2,4,2,5,3,-99
LC2021R4_000172,20211130,1.0713881,2,0,1,1,1,2,1,1,8885,2,2,18,,,,2,2,1,1,,,1,4,3,3,4,2,2,2,2,3,3,,3,1,,2,1,1,5,2,5,3,2
LC2021R4_000173,20211130,1.1332437,1,50,3,1,2,1,1,1,1,1,1,,,,,1,2,2,1,,,1,4,3,3,4,2,2,2,2,6,6,,4,3,,2,3,3,1,2,4,2,2
LC2021R4_000174,20211130,0.4197223,1,0,1,1,1,4,3,-99,,,-99,6,,,,3,2,1,1,,,1,7,6,5,6,3,3,3,2,6,6,,8886,8886,,2,3,3,2,2,-99,-99,2
LC2021R4_000175,20211130,1.0467985,2,50,3,1,2,2,1,2,,,3,15,,,,8,1,2,2,25,3,2,4,3,3,4,2,2,3,2,2,2,,4,3,,2,1,1,5,2,3,1,1
LC2021R4_000176,20211130,0.7262282,1,80,4,1,1,1,1,1,8885,2,2,10,,,,7,1,1,2,64,5,2,7,6,5,6,3,3,1,1,6,6,,2,2,,1,2,2,4,3,-99,-99,2
LC2021R4_000177,20211130,0.9138806,2,9,2,1,1,4,3,2,,,3,-99,,,,-99,2,2,2,29,3,2,6,5,5,6,3,3,3,2,6,6,,-99,-99,,2,1,1,-99,3,-99,-99,-99
LC2021R4_000178,20211130,0.6410756,1,50,3,1,1,3,3,2,,,3,4,,,,2,8888,2,1,,,1,7,6,5,6,3,3,1,1,6,6,,4,3,,2,-99,-99,1,2,3,1,2
LC2021R4_000179,20211130,1.2457683,1,80,4,1,1,2,1,1,8885,2,2,11,,,,10,1,1,1,,,1,6,5,5,6,3,3,2,2,2,2,,2,2,,2,1,1,4,2,5,3,2
LC2021R4_000180,20211130,0.8306486,2,0,1,1,1,4,3,2,,,3,7,,,,4,2,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,3,1,,1,3,3,3,1,3,1,2
LC2021R4_000181,20211130,0.9513958,2,8888,8888,1,2,8888,8888,2,,,3,14,,,,9,8888,2,2,41,4,2,6,5,5,6,3,3,2,2,5,5,,8886,8886,,1,3,3,5,-99,-99,-99,-99
LC2021R4_000182,20211130,1.3587878,1,20,2,1,1,4,3,1,8885,2,2,11,,,,10,2,1,2,46,4,2,5,4,4,5,3,2,5,3,6,6,,8886,8886,,1,3,3,4,2,-99,-99,2
LC2021R4_000183,20211130,1.7680202,1,0,1,1,1,1,1,1,8885,2,2,11,,,,10,1,2,8881,50,4,8881,5,4,4,5,3,2,1,1,5,5,,8886,8886,,1,3,3,4,2,2,1,1
LC2021R4_000184,20211130,2.0826742,1,50,3,1,1,2,1,1,5,1,1,,,,,5,1,2,2,13,2,2,4,3,3,4,2,2,3,2,3,3,,4,3,,2,1,1,2,2,5,3,2
LC2021R4_000185,20211130,0.4197223,1,50,3,1,1,4,3,1,3,1,1,,,,,3,2,1,2,50,4,2,7,6,5,6,3,3,1,1,6,6,,4,3,,1,2,2,2,2,5,3,2
LC2021R4_000186,20211130,1.264115,1,7,2,1,1,4,3,2,,,3,11,,,,10,2,2,1,,,1,6,5,5,6,3,3,4,3,6,6,,1,1,,1,3,3,4,2,8888,8888,2
LC2021R4_000187,20211130,1.1306434,1,60,4,1,1,1,1,1,6,1,1,,,,,6,1,2,1,,,1,5,4,4,5,3,2,3,2,5,5,,8886,8886,,1,3,3,4,2,4,2,-99
LC2021R4_000188,20211130,0.761558,1,70,4,1,1,1,1,1,4,1,1,,,,,4,1,1,1,,,1,6,5,5,6,3,3,2,2,1,1,,8888,8888,,1,3,3,5,2,3,1,2
LC2021R4_000189,20211130,1.0249801,2,0,1,1,1,4,3,1,8885,2,2,8,,,,4,2,2,1,,,1,4,3,3,4,2,2,3,2,5,5,,8886,8886,,1,2,2,3,2,4,2,2
LC2021R4_000190,20211130,1.0866843,1,40,2,1,1,1,1,1,8885,2,2,9,,,,5,1,1,2,70,5,2,7,6,5,6,3,3,1,1,6,6,,4,3,,1,3,3,3,2,4,2,2
LC2021R4_000191,20211130,1.4356069,2,80,4,1,1,2,1,1,8885,2,2,16,,,2,7,8888,1,1,,,1,3,2,2,3,2,2,5,3,1,1,,2,2,,1,2,2,5,2,4,2,2
LC2021R4_000192,20211130,0.8168286,2,40,2,1,1,2,1,2,,,3,17,,,,9,2,2,1,,,1,-99,-99,-99,-99,-99,-99,4,3,1,1,,-99,-99,,-99,-99,-99,5,1,5,3,-99
LC2021R4_000193,20211130,0.6519015,2,50,3,1,1,2,1,1,3,1,1,,,,,3,8888,1,2,40,4,2,5,4,4,5,3,2,2,2,3,3,,8886,8886,,2,1,1,2,2,4,2,1
LC2021R4_000194,20211130,1.1198041,2,0,1,1,1,4,3,2,,,3,12,,,,6,2,1,1,,,1,2,1,1,2,1,1,5,3,2,2,,4,3,,1,3,3,4,1,2,1,2
LC2021R4_000195,20211130,0.777769,2,0,1,1,1,4,3,2,,,3,16,,,1,8,2,1,4,47,4,8881,6,5,5,6,3,3,2,2,6,6,,1,1,,2,3,3,5,2,3,1,2
LC2021R4_000196,20211130,0.6064806,1,50,3,1,1,1,1,1,3,1,1,,,,,3,1,2,2,30,3,2,6,5,5,6,3,3,5,3,2,2,,2,2,,1,3,3,2,2,2,1,1
LC2021R4_000197,20211130,0.7727736,1,80,4,1,1,1,1,1,4,1,1,,,,,4,1,2,2,43,4,2,6,5,5,6,3,3,3,2,5,5,,2,2,,1,3,3,3,2,4,2,2
LC2021R4_000198,20211130,1.4356069,2,40,2,1,1,3,3,1,7,1,1,,,,,7,2,1,1,,,1,3,2,2,3,2,2,5,3,2,2,,1,1,,1,3,3,5,2,4,2,2
LC2021R4_000199,20211130,1.5429125,2,0,1,1,1,3,3,2,,,3,11,,,,10,8888,1,2,37,3,2,4,3,3,4,2,2,3,2,2,2,,4,3,,1,3,3,4,2,3,1,2
LC2021R4_000200,20211130,2.1024107,2,0,1,1,1,4,3,1,8885,2,2,13,,2,,10,2,2,1,,,1,2,1,1,2,1,1,5,3,2,2,,3,1,,2,1,1,4,1,5,3,1
LC2021R4_000201,20211130,1.0250531,2,0,1,1,1,3,3,2,,,3,16,,,1,8,2,2,1,,,1,3,2,2,3,2,2,5,3,2,2,,3,1,,1,3,3,5,1,-99,-99,-99
LC2021R4_000202,20211130,1.3629326,2,0,1,1,1,4,3,2,,,3,10,,,,7,2,2,1,,,1,3,2,2,3,2,2,2,2,1,1,,1,1,,2,3,3,4,2,5,3,2
LC2021R4_000203,20211130,2.196134,2,40,2,1,1,2,1,1,8885,2,2,9,,,,5,8888,2,8,35,3,8881,5,4,4,5,3,2,5,3,6,6,,8886,8886,,1,3,3,3,3,3,1,2
LC2021R4_000204,20211130,1.0341383,2,0,1,1,1,1,1,1,8885,2,2,10,,,,7,1,1,1,,,1,6,5,5,6,3,3,3,2,2,2,,4,3,,2,3,3,4,2,3,1,2
LC2021R4_000205,20211130,0.8419976,1,70,4,1,1,1,1,2,,,3,2,,,,1,1,1,1,,,1,6,5,5,6,3,3,4,3,6,6,,4,3,,1,3,3,1,1,3,1,2
LC2021R4_000206,20211130,0.5976785,2,0,1,1,1,4,3,1,3,1,1,,,,,3,2,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,1,1,,2,3,3,2,1,3,1,2
LC2021R4_000207,20211130,1.0932437,2,0,1,1,2,4,3,1,8885,2,2,15,,,,8,2,1,2,26,3,2,2,1,1,2,1,1,5,3,1,1,,3,1,,1,3,3,5,1,4,2,2
LC2021R4_000208,20211130,1.0493683,1,50,3,1,1,1,1,1,7,1,1,,,,,7,1,2,1,,,1,6,5,5,6,3,3,1,1,5,5,,8888,8888,,2,1,1,4,2,5,3,2
LC2021R4_000209,20211130,0.8543979,1,20,2,1,1,1,1,1,8885,2,2,3,,,,1,2,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,-99,-99,,1,3,3,1,2,-99,-99,2
LC2021R4_000210,20211130,0.6948297,1,80,4,1,1,4,3,2,,,3,17,,,,9,8888,2,5,10,2,8881,7,6,5,6,3,3,-99,-99,5,5,,8888,8888,,2,1,1,5,-99,-99,-99,-99
LC2021R4_000211,20211130,0.5643772,1,100,5,1,1,1,1,1,4,1,1,,,,,4,1,2,1,,,1,7,6,5,6,3,3,1,1,5,5,,3,1,,2,1,1,3,3,3,1,1
LC2021R4_000212,20211130,1.3918457,1,0,1,1,1,1,1,1,8885,2,2,16,,,2,7,2,2,1,,,1,4,3,3,4,2,2,5,3,7,6,,3,1,,1,3,3,5,1,4,2,1
LC2021R4_000213,20211130,0.7877046,1,0,1,1,1,2,1,1,3,1,1,,,,,3,2,2,2,15,2,2,3,2,2,3,2,2,4,3,2,2,,4,3,,1,1,1,2,1,2,1,2
LC2021R4_000214,20211130,0.6948297,1,50,3,1,1,2,1,2,,,3,17,,,,9,1,2,2,55,4,2,7,6,5,6,3,3,1,1,6,6,,8886,8886,,2,1,1,5,1,5,3,2
LC2021R4_000215,20211130,0.6064806,1,0,1,1,1,4,3,1,3,1,1,,,,,3,2,2,1,,,1,6,5,5,6,3,3,3,2,6,6,,1,1,,1,2,2,2,3,3,1,2
LC2021R4_000216,20211130,1.1306434,2,30,2,1,2,1,1,2,,,3,13,,1,,6,1,2,2,13,2,2,5,4,4,5,3,2,4,3,5,5,,2,2,,1,3,3,4,2,4,2,2
LC2021R4_000217,20211130,0.7877046,2,0,1,1,1,2,1,1,3,1,1,,,,,3,2,2,1,,,1,3,2,2,3,2,2,3,2,2,2,,8886,8886,,2,3,3,2,2,4,2,2
LC2021R4_000218,20211130,0.4197223,1,60,4,1,1,1,1,1,3,1,1,,,,,3,8888,1,2,74,5,2,7,6,5,6,3,3,5,3,6,6,,2,2,,2,1,1,2,2,5,3,2
LC2021R4_000219,20211130,1.3306439,2,50,3,1,1,2,1,1,8885,2,2,17,,,,9,1,2,1,,,1,5,4,4,5,3,2,3,2,2,2,,8886,8886,,2,1,1,5,1,3,1,2
LC2021R4_000220,20211130,1.1306434,1,50,3,1,1,2,1,1,6,1,1,,,,,6,1,2,1,,,1,5,4,4,5,3,2,5,3,1,1,,4,3,,-99,3,3,2,-99,3,1,1
LC2021R4_000221,20211130,1.0493683,1,50,3,1,1,2,1,2,,,3,10,,,,7,8888,2,1,,,1,6,5,5,6,3,3,1,1,5,5,,8886,8886,,2,1,1,4,2,5,3,2
LC2021R4_000222,20211130,1.7293949,2,30,2,1,1,1,1,1,8885,2,2,11,,,,10,1,1,1,,,1,3,2,2,3,2,2,3,2,2,2,,1,1,,1,2,2,4,2,4,2,1
LC2021R4_000223,20211130,0.8650532,1,5,2,1,1,4,3,1,8885,2,2,4,,,,2,1,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,4,3,,1,3,3,1,2,4,2,2
LC2021R4_000224,20211130,0.9632846,2,50,3,1,1,8886,8886,1,8885,2,2,16,,,1,8,2,1,1,,,1,4,3,3,4,2,2,5,3,2,2,,4,3,,1,3,3,5,2,4,2,2
LC2021R4_000225,20211130,1.3629326,2,30,2,1,1,2,1,1,7,1,1,,,,,7,1,2,-99,20,3,-99,3,2,2,3,2,2,4,3,-99,-99,,4,3,,2,-99,-99,5,2,-99,-99,2
LC2021R4_000226,20211130,0.8483303,1,50,3,1,1,2,1,1,8885,2,2,16,,,1,8,2,1,1,,,1,5,4,4,5,3,2,1,1,3,3,,-99,-99,,1,3,3,5,2,5,3,-99
LC2021R4_000227,20211130,1.3306439,2,0,1,1,1,4,3,2,,,3,14,,,,9,2,2,1,,,1,5,4,4,5,3,2,2,2,5,5,,4,3,,1,3,3,5,3,4,2,2
LC2021R4_000228,20211130,0.8297065,2,30,2,1,1,1,1,1,3,1,1,,,,,3,1,1,1,,,1,3,2,2,3,2,2,5,3,2,2,,4,3,,2,1,1,2,1,4,2,2
LC2021R4_000229,20211130,1.0341383,1,0,1,1,1,3,3,1,8885,2,2,16,,,2,7,2,1,2,50,4,2,6,5,5,6,3,3,1,1,6,6,,8881,8888,___,1,2,2,5,2,5,3,2
LC2021R4_000230,20211130,1.1332437,2,20,2,1,1,8886,8886,2,,,3,3,,,,1,8888,2,2,40,4,2,4,3,3,4,2,2,5,3,1,1,,4,3,,1,3,3,1,1,3,1,2
LC2021R4_000231,20211130,0.5348075,1,50,3,1,1,1,1,1,8885,2,2,7,,,,4,1,1,2,63,5,2,7,6,5,6,3,3,1,1,6,6,,-99,-99,,1,3,3,3,2,3,1,2
LC2021R4_000232,20211130,1.1949805,2,0,1,1,2,4,3,1,8885,2,2,3,,,,1,2,2,2,8,2,2,5,4,4,5,3,2,3,2,2,2,,1,1,,2,3,3,1,2,5,3,1
LC2021R4_000233,20211130,1.2852371,1,0,1,1,2,4,3,1,4,1,1,,,,,4,2,2,1,,,1,1,1,1,1,1,1,5,3,4,4,,3,1,,1,3,3,3,1,3,1,2
LC2021R4_000234,20211130,0.8482377,2,10,2,1,1,3,3,1,-99,-99,-99,5,1,,,3,8888,2,1,,,1,5,4,4,5,3,2,3,2,5,5,,3,1,,2,3,3,2,2,3,1,2
LC2021R4_000235,20211130,1.0250531,2,0,1,1,1,2,1,1,8,1,1,,,,,8,2,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,3,1,,1,3,3,5,1,2,1,1
LC2021R4_000236,20211130,1.1198041,1,10,2,1,1,1,1,1,6,1,1,,,,,6,8888,1,2,15,2,2,2,1,1,2,1,1,5,3,7,6,,3,1,,1,3,3,4,1,3,1,1
LC2021R4_000237,20211130,0.6584251,1,50,3,1,1,1,1,1,8885,2,2,17,,,,9,1,1,2,60,5,2,7,6,5,6,3,3,1,1,6,6,,2,2,,1,1,1,5,3,5,3,2
LC2021R4_000238,20211130,1.1059426,2,50,3,1,1,2,1,1,8885,2,2,13,,1,,6,2,1,-99,26,3,-99,3,2,2,3,2,2,5,3,1,1,,3,1,,2,1,1,4,1,4,2,1
LC2021R4_000239,20211130,0.7877046,2,50,3,1,1,1,1,1,8885,2,2,5,1,,,3,1,2,1,,,1,3,2,2,3,2,2,5,3,2,2,,4,3,,2,3,3,2,1,4,2,2
LC2021R4_000240,20211130,1.5823122,1,35,2,1,2,1,1,1,8885,2,2,17,,,,9,2,2,1,,,1,1,1,1,1,1,1,5,3,4,4,,3,1,,1,1,1,5,1,4,2,1
LC2021R4_000241,20211130,0.5348075,1,60,4,1,1,1,1,1,8885,2,2,8,,,,4,8888,1,2,70,5,2,7,6,5,6,3,3,1,1,6,6,,2,2,,1,3,3,3,2,5,3,2
LC2021R4_000242,20211130,1.348118,1,-99,-99,1,1,-99,-99,2,,,3,9,,,,5,8888,2,1,,,1,-99,-99,-99,-99,-99,-99,4,3,2,2,,-99,-99,,1,3,3,3,2,8888,8888,-99
LC2021R4_000243,20211130,1.0467985,1,20,2,1,1,8886,8886,2,,,3,15,,,,8,8888,2,1,,,1,4,3,3,4,2,2,3,2,2,2,,4,3,,2,1,1,5,3,5,3,2
LC2021R4_000244,20211130,1.3178873,2,70,4,1,2,2,1,2,,,3,17,,,,9,1,1,1,,,1,2,1,1,2,1,1,5,3,2,2,,2,2,,2,1,1,5,1,5,3,2
LC2021R4_000245,20211130,0.8483303,1,50,3,1,1,1,1,2,,,3,15,,,,8,1,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,8886,8886,,1,3,3,5,2,3,1,2
LC2021R4_000246,20211130,1.0722305,2,0,1,1,1,8888,8888,2,,,3,12,,,,6,2,2,1,,,1,4,3,3,4,2,2,2,2,7,6,,-99,-99,,1,3,3,4,2,5,3,-99
LC2021R4_000247,20211130,0.8650532,1,0,1,1,1,4,3,1,8885,2,2,18,,,,2,2,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,4,3,,1,2,2,5,1,4,2,2
LC2021R4_000248,20211130,0.8543979,1,0,1,1,1,4,3,2,,,3,3,,,,1,2,2,2,55,4,2,6,5,5,6,3,3,2,2,6,6,,1,1,,2,1,1,1,2,5,3,1
LC2021R4_000249,20211130,0.7262282,1,0,1,1,1,4,3,1,7,1,1,,,,,7,2,1,2,65,5,2,7,6,5,6,3,3,5,3,1,1,,1,1,,2,3,3,4,2,3,1,2
LC2021R4_000250,20211130,1.1642742,1,50,3,1,1,1,1,1,8885,2,2,1,,,,2,1,2,2,27,3,2,4,3,3,4,2,2,3,2,2,2,,2,2,,1,3,3,1,2,4,2,2
LC2021R4_000251,20211130,0.877793,1,50,3,1,1,1,1,1,8885,2,2,4,,,,2,1,2,1,,,1,6,5,5,6,3,3,3,2,6,6,,2,2,,1,3,3,1,2,2,1,1
LC2021R4_000252,20211130,0.8543979,1,30,2,1,1,3,3,2,,,3,3,,,,1,2,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,1,1,,1,2,2,1,1,3,1,2
LC2021R4_000253,20211130,0.8650532,1,50,3,1,1,1,1,1,8885,2,2,1,,,,2,1,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,2,2,,1,3,3,1,2,3,1,2
LC2021R4_000254,20211130,1.5474224,2,20,2,1,1,1,1,2,,,3,9,,,,5,8888,1,2,42,4,2,6,5,5,6,3,3,1,1,6,6,,4,3,,1,3,3,3,2,4,2,2
LC2021R4_000255,20211130,1.0086672,2,0,1,1,1,2,1,1,8885,2,2,5,1,,,3,2,2,1,,,1,2,1,1,2,1,1,5,3,2,2,,1,1,,1,2,2,2,1,3,1,2
LC2021R4_000256,20211130,1.1038259,1,60,4,1,1,3,3,1,8,1,1,,,,,8,8888,2,1,,,1,5,4,4,5,3,2,5,3,2,2,,4,3,,1,3,3,5,2,4,2,-99
LC2021R4_000257,20211130,1.4676705,1,0,1,1,1,8886,8886,2,,,3,10,,,,7,2,2,1,,,1,5,4,4,5,3,2,2,2,8881,6,__,1,1,,1,2,2,4,2,4,2,2
LC2021R4_000258,20211130,0.9375877,1,60,4,1,1,1,1,1,8885,2,2,17,,,,9,1,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,2,2,,1,3,3,5,2,3,1,2
LC2021R4_000259,20211130,0.5348075,1,0,1,1,1,4,3,1,8885,2,2,8,,,,4,2,1,1,,,1,7,6,5,6,3,3,2,2,6,6,,8886,8886,,1,3,3,3,2,4,2,1
LC2021R4_000260,20211130,0.5903943,1,75,4,1,1,2,1,1,8885,2,2,12,,,,6,8888,2,1,,,1,7,6,5,6,3,3,5,3,6,6,,4,3,,2,3,3,4,2,3,1,2
LC2021R4_000261,20211130,0.6239895,1,70,4,1,1,2,1,2,,,3,3,,,,1,2,2,1,,,1,7,6,5,6,3,3,1,1,5,5,,8886,8886,,2,1,1,1,3,8888,8888,2
LC2021R4_000262,20211130,2.1481559,2,0,1,1,1,1,1,1,8885,2,2,9,,,,5,2,1,1,,,1,3,2,2,3,2,2,5,3,1,1,,8886,8886,,1,3,3,3,1,5,3,2
LC2021R4_000263,20211130,2.1481559,2,50,3,1,1,1,1,2,,,3,9,,,,5,1,1,1,,,1,3,2,2,3,2,2,5,3,2,2,,4,3,,2,3,3,3,1,3,1,2
